"","rank","film_title","film_title_en","genre","release_date","tenmillion_days","sales","audience","screens_seoul","screens","production_main","production_all","film_distribution","year","month"
"1",1,"명량","The Admiral: Roaring Currents","History",2014-07-30,12,135748398910,17613682,NA,1587,"Korea","Korea","씨제이이앤엠(주)",2014,7
"2",2,"극한직업","Extreme Job","Comedy",2019-01-23,15,139647979516,16264944,NA,1978,"Korea","Korea","씨제이이앤엠(주)",2019,1
"3",3,"신과함께-죄와 벌","Along With the Gods: The Two Worlds","Fantasy",2017-12-20,16,115698654137,14410754,NA,1912,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2017,12
"4",4,"국제시장","Ode to My Father","Drama",2014-12-17,28,110913469630,14257115,NA,966,"Korea","Korea","씨제이이앤엠(주)",2014,12
"5",5,"어벤져스: 엔드게임","Avengers: Endgame","Action",2019-04-24,11,122182694160,13934592,NA,2835,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2019,4
"6",6,"겨울왕국 2","Frozen II","Musical",2019-11-21,17,114803770600,13746532,NA,2648,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2019,11
"7",7,"아바타","Avatar","Sci-Fi",2009-12-17,38,128447097523,13624328,NA,912,"US","US","주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009,12
"8",8,"베테랑","Veteran","Action",2015-08-05,25,105168155250,13414009,NA,1064,"Korea","Korea","씨제이이앤엠(주)",2015,8
"9",9,"괴물","The Host","Horror",2006-07-27,21,0,13019740,"S",167,"Korea","Korea","(주)쇼박스",2006,7
"10",10,"도둑들","The Thieves","Action",2012-07-25,22,93665568500,12983330,NA,1072,"Korea","Korea, Hong Kong","(주)쇼박스",2012,7
"11",11,"7번방의 선물","Miracle in Cell No. 7","Comedy",2013-01-23,32,91431914670,12811206,NA,787,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2013,1
"12",12,"암살","Assassination","Action",2015-07-22,25,98463132781,12705700,NA,1519,"Korea","Korea","(주)쇼박스",2015,7
"13",13,"알라딘","Aladdin","Musical",2019-05-23,53,106983620359,12555894,NA,1311,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2019,5
"14",14,"광해, 왕이 된 남자","Masquerade","History",2012-09-13,38,88900208769,12319542,NA,810,"Korea","Korea","씨제이이앤엠(주)",2012,9
"15",15,"왕의 남자","King and the Clown","History",2005-12-29,45,0,12302831,"S",94,"Korea","Korea","(주)시네마서비스",2005,12
"16",16,"신과함께-인과 연","Along with the Gods: The Last 49 Days","Fantasy",2018-08-01,14,102666146909,12274996,NA,2235,"Korea","Korea","롯데컬처웍스(주)롯데엔터테인먼트",2018,8
"17",17,"택시운전사","A Taxi Driver","Drama",2017-08-02,19,95855737149,12186684,NA,1906,"Korea","Korea","(주)쇼박스",2017,8
"18",18,"태극기 휘날리며","Taegukgi: The Brotherhood of War","Action",2004-02-05,39,0,11746135,"S",110,"Korea","Korea","(주)쇼박스",2004,2
"19",19,"부산행","Train to Busan","Horror",2016-07-20,19,93178283048,11565479,NA,1788,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2016,7
"20",20,"해운대","Tidal Wave","Drama",2009-07-22,33,81934638201,11453338,NA,753,"Korea","Korea","씨제이엔터테인먼트",2009,7
"21",21,"변호인","The Attorney","Drama",2013-12-18,33,82871759300,11374610,NA,923,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2013,12
"22",22,"어벤져스: 인피니티 워","Avengers: Infinity War","Action",2018-04-25,19,99919006769,11211880,NA,2553,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2018,4
"23",23,"실미도","Silmido","Action",2003-12-24,58,0,11081000,"S",83,"Korea","Korea","(주)시네마서비스",2003,12
"24",24,"어벤져스: 에이지 오브 울트론","Avengers: Age of Ultron","Action",2015-04-23,25,88582586366,10494499,NA,1843,"US","US","월트디즈니컴퍼니코리아(주)",2015,4
"25",25,"겨울왕국","Frozen","Musical",2014-01-16,46,82461504400,10296101,NA,1010,"US","US","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014,1
"26",26,"기생충","Parasite","Drama",2019-05-30,53,87224912275,10283765,NA,1948,"Korea","Korea","씨제이이앤엠(주)",2019,5
"27",27,"인터스텔라","Interstellar","Sci-Fi",2014-11-06,50,82291089200,10275484,NA,1342,"US","US, UK","워너브러더스 코리아(주)",2014,11
